0.000000e+000, 2.965924e-011, 4.004159e-011, 1.035246e-011, -9.340844e-011, 4.970195e-009, 3.732228e-010
1.000000e-010, 3.649030e-010, 4.803193e-012, -8.726586e-011, -1.304223e-010, 4.943975e-009, 2.394807e-010
2.000000e-010, 6.230390e-010, 1.895529e-010, -3.945137e-011, -3.659812e-010, 5.245411e-009, 3.983175e-011
3.000000e-010, 7.236902e-010, 4.204860e-010, -2.350868e-010, -1.891319e-010, 5.216238e-009, 8.515311e-011
4.000000e-010, 6.524307e-010, 5.270925e-010, -4.103051e-010, 4.763658e-012, 5.445731e-009, 8.520805e-011
5.000000e-010, 5.198683e-010, 5.750295e-010, -3.796456e-010, 9.280017e-011, 5.623412e-009, 1.615023e-010
6.000000e-010, 3.505537e-010, 6.780759e-010, -3.240148e-010, -2.648883e-010, 5.609501e-009, 2.314147e-010
7.000000e-010, 2.998392e-010, 8.440728e-010, -4.788302e-010, -2.474216e-010, 5.531575e-009, 2.335787e-010
8.000000e-010, 4.941822e-010, 9.854874e-010, -4.198466e-010, -1.567638e-010, 5.163429e-009, 4.532263e-010
9.000000e-010, 2.839648e-010, 7.324267e-010, -2.776880e-010, -7.563559e-011, 5.387246e-009, 1.277032e-011
1.000000e-009, 2.762242e-010, 6.517101e-010, -1.263107e-010, -1.898670e-010, 5.923548e-009, 2.317062e-010
1.100000e-009, 4.703446e-010, 7.858297e-010, 1.234901e-010, -1.266701e-010, 5.716663e-009, 1.182552e-010
1.200000e-009, 5.634780e-010, 5.479861e-010, -2.938706e-010, -4.701614e-010, 5.569753e-009, 1.687944e-010
1.300000e-009, 7.006116e-010, 6.845018e-010, -3.290547e-010, -5.893945e-010, 5.450860e-009, -8.098116e-011
1.400000e-009, 6.949780e-010, 3.992792e-010, -1.901597e-010, -5.919030e-010, 5.424218e-009, -4.178538e-010
1.500000e-009, 3.898244e-010, 1.190951e-010, -3.441035e-010, -5.159363e-010, 5.628464e-009, -1.482212e-010
